river,川
mountain,山
ocean,海
forest,森
desert,砂漠
lake,湖
valley,谷
island,島
bridge,橋
road,道路
house,家
school,学校
hospital,病院
library,図書館
park,公園
garden,庭
tree,木
flower,花
bird,鳥
fish,魚
cat,猫
dog,犬
horse,馬
cow,牛
pig,豚
chicken,鶏
elephant,象
lion,ライオン
tiger,トラ
bear,熊
rabbit,うさぎ
mouse,ネズミ
snake,ヘビ
frog,カエル
butterfly,蝶
bee,蜂
ant,アリ
spider,クモ
sun,太陽
moon,月
star,星
cloud,雲
rain,雨
snow,雪
wind,風
fire,火
water,水
earth,地球
sky,空
ground,地面
rock,岩
sand,砂
ice,氷
smoke,煙
light,光
dark,暗い
hot,熱い
cold,冷たい
big,大きい
small,小さい
fast,速い
slow,遅い
good,良い
bad,悪い
happy,幸せ
sad,悲しい
angry,怒っている
surprised,驚いた
scared,怖い
excited,興奮した
tired,疲れた
hungry,お腹が空いた
thirsty,喉が渇いた
sleepy,眠い
awake,起きている
old,古い
new,新しい
young,若い
clean,きれい
dirty,汚い
full,満杯
empty,空
open,開いている
closed,閉じている
high,高い
low,低い
long,長い
short,短い
wide,広い
narrow,狭い
thick,厚い
thin,薄い
heavy,重い
light,軽い
strong,強い
weak,弱い
hard,硬い
soft,柔らかい
smooth,滑らか
rough,粗い
sharp,鋭い
dull,鈍い
bright,明るい
quiet,静か
loud,うるさい
sweet,甘い
sour,酸っぱい
salty,塩辛い
bitter,苦い
spicy,辛い
hot,熱い
warm,温かい
cool,涼しい
freezing,凍るほど寒い
boiling,沸騰するほど熱い
